CourseCode,Course Title,Semester (F/S),type (LEC/TUT/PRA),session,cataglory,Date of the week 1 (1/2/3/4/5),Start time1,end time 1,Date of the week 2 (1/2/3/4/5),Start time2,end time2,Date of the week 3 (1/2/3/4/5),Start time2,end time 2
ECE1774H,Sensory Cybernetics,F,LEC,1,Biomedical Engineering,1,10,12,,,,,,
BME1466H,Advanced Topics in Magnetic Resonance Imaging,S,LEC,1,Biomedical Engineering,2,10,12,,,,,,
ECE1475H,Bio-Photonics,S,LEC,1,Biomedical Engineering,4,15,18,,,,,,
JEB1433H,Medical Imaging,S,LEC,1,Biomedical Engineering,4,10,13,,,,,,
JEB1444H,Neural Engineering,S,LEC,1,Biomedical Engineering,4,15,17,,,,,,
ECE537H1,Random Processes,F,LEC,1,Communications,1,10,11,2,10,11,4,10,11
ECE537H1,Random Processes,F,TUT,1,Communications,1,16,18,,,,,,
ECE1501H,Error Control Codes,F,LEC,1,Communications,2,15,17,5,10,12,,,
ECE1502H,Information Theory,F,LEC,1,Communications,4,11,14,,,,,,
ECE1511H,Signal Processing,F,LEC,1,Communications,2,12,14,,,,,,
ECE1512H,Digital Image Processing,F,LEC,1,Communications,1,12,14,,,,,,
ECE1521H,Detection & Estimation Theory,F,LEC,1,Communications,2,9,11,3,9,11,,,
ECE1521H,Detection & Estimation Theory,F,TUT,1,Communications,5,12,1,,,,,,
ECE1524H,Service Provider Networks,F,LEC,1,Communications,4,18,21,,,,,,
ECE1541H,Communication Networks I,F,LEC,1,Communications,2,14,15,4,13,15,,,
ECE1551H,Mobile Broadband Radio Access Network,F,LEC,1,Communications,2,18,21,,,,,,
ECE1504H,Statistical Learning,S,LEC,1,Communications,2,9,12,,,,,,
ECE1505H,Convex Optimization,S,LEC,1,Communications,3,10,12,5,13,15,,,
ECE1508H,Special Topics in Communications: Network Softwarization: Technologies and Enablers,S,LEC,1,Communications,5,10,13,,,,,,
ECE1513H,Introduction to Machine Learning,S,LEC,1,Communications,1,15,17,,,,,,
ECE1518H,"Seminar in Identity, Privacy and Security",S,LEC,1,Communications,3,12,15,,,,,,
ECE1543H,Mobile Communications Systems​,S,LEC,1,Communications,1,18,21,,,,,,
ECE1545H,Bridges & Routers,S,LEC,1,Communications,4,15,18,,,,,,
ECE1548H,Advanced Network Architectures: Network Softwarization: Principles and Foundations,S,LEC,1,Communications,1,12,15,,,,,,
